Item,rating,ranking
BAL,1.0,1
NE,0.9964287151248232,2
NO,0.8784511812739163,3
GB,0.8155373958285204,4
PIT,0.7714827019375706,5
KC,0.7388534786077268,6
DAL,0.7269307559974818,7
SEA,0.6929479531874455,8
PHI,0.6879708431105731,9
SF,0.6682995083176664,10
LAC,0.6242404136288614,11
MIN,0.6118393598045461,12
CIN,0.5997575936774392,13
ATL,0.5637115403671591,14
DEN,0.5242712748742523,15
IND,0.5081543043713472,16
BUF,0.4777089510087887,17
ARI,0.4618416321600218,18
CHI,0.4541772843314011,19
TEN,0.420642225055478,20
TB,0.3992260837634522,21
MIA,0.37311603392314047,22
CAR,0.345388806195227,23
HOU,0.31056110230410955,24
LAR,0.30796433971756576,25
DET,0.2714193010298638,26
NYG,0.2513732568690466,27
NYJ,0.21980882297317977,28
CLE,0.1294137310118044,29
WSH,0.12605021319242402,30
LV,0.01563951994628306,31
JAX,0.0,32
