Item,rating,ranking
BOS,1.0,1
PIT,0.8461869312303374,2
VGK,0.7833592200696999,3
TB,0.7773269456775332,4
NYR,0.7256379291023447,5
WSH,0.7006318684029588,6
STL,0.6855204981350546,7
CAR,0.551511203557034,8
COL,0.5414668114780175,9
TOR,0.5340900055800597,10
LA,0.5229969742308808,11
DAL,0.5186276187875053,12
WPG,0.5150985578690297,13
NSH,0.497821665009286,14
MIN,0.48425543575708435,15
CGY,0.46304474480799485,16
CHI,0.4502802856598949,17
VAN,0.4387210473090218,18
SJ,0.3867712082099193,19
PHI,0.3682729124045892,20
NYI,0.3601733920366684,21
EDM,0.3504909954283049,22
FLA,0.34796354912615896,23
SEA,0.30498811938943293,24
NJ,0.23076616253243037,25
ANA,0.22775474046939842,26
DET,0.2162559567949035,27
MTL,0.14887220985289748,28
CBJ,0.14597643034426658,29
OTT,0.07706597117367148,30
BUF,0.055428712611770514,31
ARI,0.0,32
