Item,rating,ranking
BOS,1.0,1
GS,0.9984646640592376,2
SA,0.9947761051843512,3
DEN,0.8691213239549364,4
OKC,0.8646535732280494,5
MIA,0.840471942961943,6
LAC,0.8317156211906516,7
UTAH,0.7698744719760485,8
DAL,0.7476414831565866,9
HOU,0.7270676638015863,10
MIL,0.6792162785847998,11
TOR,0.6411035481000845,12
IND,0.597576703820359,13
LAL,0.5596580676212102,14
MEM,0.5512716835135664,15
POR,0.5504959705776339,16
CLE,0.5129694242126224,17
PHX,0.4916312013989499,18
ATL,0.4742143079062132,19
CHI,0.46229821106219127,20
NO,0.46081470174590633,21
PHI,0.4058760391752689,22
NY,0.30184541301898343,23
MIN,0.28092341398647547,24
ORL,0.26935342478162916,25
BKN,0.1488081492469765,26
WSH,0.12478973753192414,27
SAC,0.08932387490676448,28
CHA,0.05117581928272263,29
DET,0.0,30
