Item,rating,ranking
BOS,1.0,1
VGK,0.8957277233702307,2
PIT,0.8256732457359311,3
WSH,0.7588791991319156,4
TB,0.7177138213719901,5
NYR,0.6867401777269896,6
STL,0.6190547445152252,7
CAR,0.5024446628050186,8
COL,0.5006811679597627,9
NSH,0.49806385138998455,10
DAL,0.49669757029354805,11
LA,0.4763228822588633,12
WPG,0.4541545567033733,13
TOR,0.4412952919440123,14
MIN,0.4305890569802698,15
CHI,0.42691872041281387,16
FLA,0.4083613637050544,17
VAN,0.40783271627741224,18
CGY,0.3970279740173212,19
SJ,0.3465328188202333,20
PHI,0.32727280009796506,21
NYI,0.30965872407838524,22
EDM,0.23565106222705312,23
MTL,0.23515390362418154,24
NJ,0.22331931089482907,25
SEA,0.2044748489900248,26
DET,0.19799405551782204,27
ANA,0.19146794992040467,28
CBJ,0.12778581666929167,29
OTT,0.1235467947845859,30
BUF,0.008935624032793466,31
ARI,0.0,32
