season,bin,n,favorite_roi,underdog_roi
MLB_2023,0,0,-2.0,-2.0
MLB_2023,1,0,-2.0,-2.0
MLB_2023,2,14,0.06916107586449627,-0.27642857142857147
MLB_2023,3,221,-0.11164075593827183,0.1197737556561087
MLB_2023,4,693,0.0030784032137836093,-0.06408369408369408
MLB_2023,5,911,-0.06723986450013153,0.02249176728869373
MLB_2023,6,530,-0.06486940900101668,0.03141509433962275
MLB_2023,7,94,0.020399959911676202,-0.1538297872340425
MLB_2023,8,0,-2.0,-2.0
MLB_2023,9,0,-2.0,-2.0
MLB_2022,0,0,-2.0,-2.0
MLB_2022,1,0,-2.0,-2.0
MLB_2022,2,21,-0.16354720542307788,0.33904761904761904
MLB_2022,3,260,0.003685625662731562,-0.08638461538461539
MLB_2022,4,638,-0.022285086019638967,-0.041081504702194405
MLB_2022,5,845,-0.03243990026299892,-0.029834319526627184
MLB_2022,6,577,-0.005284389811175405,-0.08509532062391678
MLB_2022,7,126,-0.05788323206600521,0.06261904761904757
MLB_2022,8,0,-2.0,-2.0
MLB_2022,9,0,-2.0,-2.0
MLB_2021,0,0,-2.0,-2.0
MLB_2021,1,0,-2.0,-2.0
MLB_2021,2,10,-0.18730994564461,0.365
MLB_2021,3,249,-0.07558990546962885,0.049678714859437756
MLB_2021,4,651,-0.028780191208649608,-0.035760368663594444
MLB_2021,5,866,-0.0023862486171803976,-0.06290993071593531
MLB_2021,6,565,-0.03906679336574648,-0.03371681415929206
MLB_2021,7,115,-0.060862131187461865,0.02573913043478271
MLB_2021,8,0,-2.0,-2.0
MLB_2021,9,0,-2.0,-2.0
MLB_2020,0,0,-2.0,-2.0
MLB_2020,1,0,-2.0,-2.0
MLB_2020,2,9,0.18783406564061123,-0.64
MLB_2020,3,118,-0.0946077215733554,0.08906779661016939
MLB_2020,4,235,-0.0250810847048204,-0.042638297872340414
MLB_2020,5,306,0.0641091619149099,-0.15712418300653597
MLB_2020,6,224,-0.011521399851516345,-0.08526785714285712
