season,bin,n,favorite_roi,underdog_roi
NFL_2024,0,0,-2.0,-2.0
NFL_2024,1,6,-0.055121684639273805,-0.09999999999999998
NFL_2024,2,15,-0.15895622460611303,0.2626666666666666
NFL_2024,3,30,0.0036634988152939307,-0.09033333333333338
NFL_2024,4,57,0.05876900673091012,-0.16000000000000003
NFL_2024,5,56,0.07065133654041622,-0.1741071428571429
NFL_2024,6,62,0.013434702098528595,-0.10435483870967743
NFL_2024,7,40,-0.0470669763751016,-0.03949999999999998
NFL_2024,8,18,-0.06140239736804476,-0.012222222222222245
NFL_2024,9,1,0.05307855626326963,-1.0
NFL_2023,0,0,-2.0,-2.0
NFL_2023,1,5,-0.32893540166797997,1.2000000000000002
NFL_2023,2,20,-0.03849637081427848,-0.09950000000000003
NFL_2023,3,38,-0.10087691280785027,0.03684210526315779
NFL_2023,4,41,0.06071426683615777,-0.1839024390243903
NFL_2023,5,60,-0.03852503386625039,-0.06999999999999995
NFL_2023,6,56,-0.17755593791442803,0.21142857142857152
NFL_2023,7,49,0.1194783652181095,-0.5420408163265307
NFL_2023,8,14,0.048575494803457575,-0.6485714285714286
NFL_2023,9,1,0.056148231330713116,-1.0
NFL_2022,0,0,-2.0,-2.0
NFL_2022,1,12,-0.3310639021044369,1.7183333333333333
NFL_2022,2,26,0.14434713389988563,-0.5319230769230769
NFL_2022,3,38,-0.1375004749966563,0.12973684210526315
NFL_2022,4,36,-0.019475863164040375,-0.04777777777777781
NFL_2022,5,42,-0.30014487222948527,0.3209523809523809
NFL_2022,6,51,-0.20440034367024806,0.3011764705882354
NFL_2022,7,52,-0.12002143362175655,0.12384615384615394
NFL_2022,8,26,0.10133147945672527,-0.7973076923076923
NFL_2022,9,2,0.05374936795125107,-1.0
NFL_2021,0,1,0.06426735218509005,-1.0
NFL_2021,1,7,-0.028081940783198256,0.1100000000000001
NFL_2021,2,34,0.10072077389799894,-0.4641176470588235
NFL_2021,3,37,-0.03878583596794993,-0.08162162162162168
NFL_2021,4,31,-0.015465615360789942,-0.0903225806451613
NFL_2021,5,49,-0.14277265066434497,0.09081632653061233
NFL_2021,6,42,-0.2591857836579511,0.3790476190476191
NFL_2021,7,51,0.08159730654986719,-0.4370588235294117
NFL_2021,8,15,-0.015438534544458093,-0.32866666666666666
NFL_2021,9,2,-0.48142644873699847,4.41
NFL_2020,0,1,0.06402048655569792,-1.0
NFL_2020,1,7,-0.02347177949505941,-0.30714285714285716
NFL_2020,2,22,0.17624884045930744,-0.6772727272727272
NFL_2020,3,35,-0.034425570400071104,-0.06828571428571428
NFL_2020,4,35,-0.20509743123705382,0.17914285714285705
NFL_2020,5,36,-0.1324439092688654,0.06666666666666665
