season,brier_score,log_loss,brier_skill_loss_50_50,brier_skill_loss_home_prob_grouped,brier_skill_loss_home_prob_overall
MLB_2006,0.238,0.6688,0.0479,0.0331,0.0424
MLB_2007,0.2443,0.6816,0.0229,0.0142,0.0174
MLB_2008,0.2421,0.6771,0.0316,0.0193,0.0261
MLB_2009,0.2414,0.6757,0.0343,0.0251,0.0288
MLB_2010,0.2413,0.6756,0.0347,0.0228,0.0292
MLB_2011,0.242,0.6769,0.0321,0.0294,0.0266
MLB_2012,0.2423,0.6774,0.0309,0.027,0.0254
MLB_2013,0.2411,0.6752,0.0355,0.0297,0.03
MLB_2014,0.2424,0.6776,0.0305,0.0269,0.025
MLB_2015,0.242,0.6769,0.032,0.0257,0.0264
MLB_2016,0.2404,0.6735,0.0386,0.0353,0.0331
MLB_2017,0.2407,0.6741,0.0373,0.0306,0.0318
MLB_2018,0.2381,0.6688,0.0474,0.0448,0.042
MLB_2019,0.2356,0.6635,0.0577,0.0548,0.0524
MLB_2020,0.239,0.6709,0.0442,0.0371,0.0387
MLB_2021,0.239,0.6707,0.044,0.0378,0.0385
MLB_2022,0.2364,0.6656,0.0544,0.05,0.049
MLB_2023,0.2421,0.6771,0.0314,0.0308,0.0259
